take,split,frame_id,relationship_count,table_relation_count,tool_relation_count,active_use_relation_count,instrument_state,drill_state,hammer_state,saw_state,next_action,next_action_seconds,robot_phase,sterility_breach_count,sterility_breach_details,table_relations,tool_relations,active_use_relations
001_PKA,train,000000,3,1,0,0,none,none,none,none,,,,0,,"unrelated_person,instrument_table,closeTo",,
001_PKA,train,000001,3,0,0,0,none,none,none,none,,,,0,,,,
001_PKA,train,000002,3,0,0,0,none,none,none,none,,,,0,,,,
001_PKA,train,000003,2,0,0,0,none,none,none,none,,,,0,,,,
001_PKA,train,000004,2,1,0,0,none,none,none,none,,,,0,,"nurse,instrument_table,closeTo",,
001_PKA,train,000005,2,1,0,0,none,none,none,none,,,,0,,"nurse,instrument_table,touching",,
001_PKA,train,000006,2,1,0,0,none,none,none,none,,,,0,,"nurse,instrument_table,closeTo",,
001_PKA,train,000007,2,1,0,0,none,none,none,none,,,,0,,"nurse,instrument_table,closeTo",,
001_PKA,train,000008,2,1,0,0,none,none,none,none,,,,0,,"nurse,instrument_table,closeTo",,
001_PKA,train,000009,2,1,0,0,none,none,none,none,,,,0,,"nurse,instrument_table,closeTo",,
001_PKA,train,000010,2,1,0,0,none,none,none,none,,,,0,,"nurse,instrument_table,closeTo",,
001_PKA,train,000011,2,1,0,0,none,none,none,none,,,,0,,"nurse,instrument_table,closeTo",,
001_PKA,train,000012,2,1,0,0,none,none,none,none,,,,0,,"nurse,instrument_table,closeTo",,
001_PKA,train,000013,2,1,0,0,none,none,none,none,,,,0,,"nurse,instrument_table,closeTo",,
001_PKA,train,000014,2,1,0,0,none,none,none,none,,,,0,,"nurse,instrument_table,closeTo",,
001_PKA,train,000015,3,2,0,0,none,none,none,none,,,,0,,"circulator,instrument_table,closeTo | nurse,instrument_table,closeTo",,
001_PKA,train,000016,4,2,0,0,none,none,none,none,,,,0,,"circulator,instrument_table,closeTo | nurse,instrument_table,closeTo",,
001_PKA,train,000017,5,2,0,0,none,none,none,none,,,,0,,"circulator,instrument_table,closeTo | nurse,instrument_table,closeTo",,
001_PKA,train,000018,5,2,0,0,none,none,none,none,,,,0,,"circulator,instrument_table,closeTo | nurse,instrument_table,closeTo",,
001_PKA,train,000019,4,1,0,0,none,none,none,none,,,,0,,"nurse,instrument_table,closeTo",,
001_PKA,train,000020,4,1,0,0,none,none,none,none,,,,0,,"nurse,instrument_table,closeTo",,
001_PKA,train,000021,4,1,0,0,none,none,none,none,,,,0,,"nurse,instrument_table,closeTo",,
